target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,505.3397601,571.5778484,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
negative,neutral,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,12,NaN,NaN,NaN,NaN,,NaN,NaN,601.285870400001,prac,2,2,2,neutral,negative,603.3579816,604.3155924,604.3155924,604.3675857,l,l,1,37.1808514000004,l,1,37.1657405999995,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,positive,negative,642.566969400001,643.5325871,643.5325871,643.582902,l,l,1,19.3585175999997,l,1,19.3478331999995,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
neutral,negative,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,negative,neutral,663.9378287,664.9175849,664.9175849,664.950616800001,k,k,1,25.2899954000004,k,1,25.2605100000001,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
negative,negative,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,negative,negative,691.2131403,692.1987445,692.1987445,692.215589400001,l,l,1,11.9079449000001,l,1,11.8891057000001,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
positive,negative,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,14,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,negative,positive,705.1289096,706.0989192,706.0989192,706.1320689,j,j,1,1.89076349999959,j,1,1.88526459999957,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
positive,neutral,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,neutral,positive,709.021838500001,709.999527400001,709.999527400001,710.032308400001,j,j,1,0.924096700000518,j,1,0.92030849999901,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,neutral,neutral,710.9635743,711.9323898,711.9323898,711.9656232,k,k,1,0.930682099999103,k,1,0.90816409999934,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
positive,positive,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,11,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,positive,positive,712.8816842,713.8656111,713.8656111,713.882323899999,j,j,1,11.5328090000003,j,1,11.5112150999994,NaN,,NaN,NaN,NaN,NaN,117,74,남성,no,yes,yes,no,2023-11-28_14h14.59.810,experiment_2311,2022.2.5,60.0005640054489
