target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,483.3985636,592.3594199,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,15,NaN,NaN,NaN,NaN,,NaN,NaN,630.1385288,prac,2,2,2,positive,negative,632.300812599999,633.2682869,633.2682869,633.301222999999,l,l,1,36.7466681000005,l,1,36.7299277000002,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
neutral,positive,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,13,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,neutral,671.098725399999,672.084776099999,672.084776099999,672.1014533,k,k,1,25.1232896999991,k,1,25.1041329000018,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
negative,negative,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,9,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,negative,negative,698.2469912,699.234707699999,699.234707699999,699.2512393,l,l,1,13.906472300001,l,1,13.8818124999998,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
positive,negative,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,positive,714.149020999999,715.1346643,715.1346643,715.151294899999,j,k,0,7.03987640000014,k,0,7.01486200000181,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
neutral,negative,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,7,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,neutral,723.1935254,724.1845455,724.1845455,724.2013028,k,j,0,0.856621900000391,j,0,0.836722800000643,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,neutral,neutral,726.065358,727.0346818,727.0346818,727.067784199999,k,k,1,5.94140320000042,k,1,5.93122330000006,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
negative,negative,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,negative,734.0070779,734.988687899999,734.988687899999,735.0232856,l,l,1,5.24040360000072,l,1,5.22530370000095,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
neutral,negative,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,negative,neutral,741.256832199999,742.251586,742.251586,742.2679947,k,k,1,5.14048510000066,k,1,5.12096630000087,NaN,,NaN,NaN,NaN,NaN,121,67,남성,no,yes,yes,no,2023-11-28_14h14.59.939,experiment_2311,2022.2.5,60.0490961410667
