TrialNum,Word,WordCategory,FishType,WordList,WordValence,WordReputation,CorrectResp,IncorrectResp,FishTypeFile,Round,WordType,Condition,weather_thisRepN,weather_thisTrialN,weather_thisN,weather_thisIndex,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,boat_thisRepN,boat_thisTrialN,boat_thisN,boat_thisIndex,para_thisRepN,para_thisTrialN,para_thisN,para_thisIndex,fish_thisRepN,fish_thisTrialN,fish_thisN,fish_thisIndex,fis_temp_thisRepN,fis_temp_thisTrialN,fis_temp_thisN,fis_temp_thisIndex,fis_round_thisRepN,fis_round_thisTrialN,fis_round_thisN,fis_round_thisIndex,fis_trials_thisRepN,fis_trials_thisTrialN,fis_trials_thisN,fis_trials_thisIndex,fis_main_break_thisRepN,fis_main_break_thisTrialN,fis_main_break_thisN,fis_main_break_thisIndex,fis_slider_2_started,Fish_2_started,fis_WordBox_2_started,fis_Words_2_started,fis_slider_2_response,fis_slider_2_rt,Response_2,Feedback_2,fis_BackGround_Feedback_2_started,fis_Feedbacks_2_started,fis_Feedbacks_2_stopped,fis_BackGround_Feedback_2_stopped,fis_slider_started,fis_BackGround_started,Fish_started,fis_WordBox_started,fis_Words_started,fis_slider_response,fis_slider_rt,Response,Feedback,fis_BackGround_Feedback_started,fis_Feedbacks_started,fis_Feedbacks_stopped,fis_BackGround_Feedback_stopped,fis_roundN,id_,x___,x__,weather,boat,parachute,fish,test_mode,date,expName,psychopyVersion,frameRate
1,넌 교활해,5,Orange,B,2.33333333333333,2.13333333333333,ScrollUp,ScrollDown,Orange.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157.289020100026,157.289020100026,157.289020100026,157.289020100026,2,2.73955960001331,ScrollUp,정답,160.041501799948,160.041501799948,160.551742599928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
2,넌 슬기로워,2,Green,A,6.16666666666667,4.1,ScrollDown,ScrollUp,Green.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161.061121499981,161.061121499981,161.061121499981,161.061121499981,1,1.59953559993301,ScrollDown,정답,162.667707499932,162.667707499932,163.167772899964,163.674290700001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,163.674290700001,163.674290700001,163.674290700001,163.674290700001,1,2.48330429999623,ScrollDown,오답,166.167740899953,166.167740899953,166.667821999989,167.172304900014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
4,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,167.172304900014,167.172304900014,167.172304900014,167.172304900014,1,2.05016270000488,ScrollDown,정답,169.234295099974,169.234295099974,169.734513700008,170.240438399953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
1,넌 교활해,5,Orange,B,2.33333333333333,2.13333333333333,ScrollUp,ScrollDown,Orange.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,0,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,170.240438399953,170.240438399953,170.240438399953,170.240438399953,2,1.93316400004551,ScrollUp,정답,172.184696799959,172.184696799959,172.684451599955,173.190303999931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
2,넌 슬기로워,2,Green,A,6.16666666666667,4.1,ScrollDown,ScrollUp,Green.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173.190303999931,173.190303999931,173.190303999931,173.190303999931,1,2.13181230006739,ScrollDown,정답,175.334353899932,175.334353899932,175.83449779998,176.337429599953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,2,6,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176.337429599953,176.337429599953,176.337429599953,176.337429599953,2,1.63297929998953,ScrollUp,정답,177.984350299928,177.984350299928,178.484445799957,178.991184299928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
4,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,3,7,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,178.991184299928,178.991184299928,178.991184299928,178.991184299928,1,1.21444130002055,ScrollDown,정답,180.217855899944,180.217855899944,180.717773300014,181.222955600009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
1,넌 교활해,5,Orange,B,2.33333333333333,2.13333333333333,ScrollUp,ScrollDown,Orange.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,0,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181.222955600009,181.222955600009,181.222955600009,181.222955600009,2,1.91510149999522,ScrollUp,정답,183.151261499966,183.151261499966,183.652413700009,184.158980399952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
2,넌 슬기로워,2,Green,A,6.16666666666667,4.1,ScrollDown,ScrollUp,Green.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,1,9,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,184.158980399952,184.158980399952,184.158980399952,184.158980399952,1,1.23204389994498,ScrollDown,정답,185.401355899987,185.401355899987,185.901512300014,186.407177699963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,2,10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186.407177699963,186.407177699963,186.407177699963,186.407177699963,2,1.73302089993376,ScrollUp,정답,188.151405200013,188.151405200013,188.651396999951,189.15682439995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
4,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,3,11,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,189.15682439995,189.15682439995,189.15682439995,189.15682439995,1,1.3661385999294,ScrollDown,정답,190.534278300009,190.534278300009,191.034352399991,191.535285699996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
1,넌 따뜻해,1,Orange,B,6.08333333333333,5.6,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,201.684365599998,201.684365599998,201.684365599998,201.684365599998,201.684365599998,2,1.85876199998893,ScrollUp,정답,203.53571039997,203.53571039997,204.05122220004,NaN,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
2,넌 기품있어,2,Orange,B,5.79166666666667,4.5,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,204.583031899994,204.583031899994,204.583031899994,204.583031899994,204.583031899994,2,0.849133000010625,ScrollUp,정답,205.41765139997,205.41765139997,205.917690300033,206.444009999977,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,1,NonTarget,NonTarget,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,206.444009999977,206.444009999977,206.444009999977,206.444009999977,206.444009999977,1.08796296296296,0.816608499968424,ScrollDown,오답,207.251926199999,207.251926199999,207.75138859998,208.27623920003,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
4,넌 수동적이야,4,Green,A,2.83333333333333,2.93333333333333,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,208.27623920003,208.27623920003,208.27623920003,208.27623920003,208.27623920003,1.16820987654321,1.63216879998799,ScrollDown,정답,209.901091399952,209.901091399952,210.401240200037,210.929909299943,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
5,넌 사심이 없어,3,Orange,B,4.91666666666667,4.33333333333333,ScrollUp,ScrollDown,Orange.png,1,Neutral,Neutral,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,210.929909299943,210.929909299943,210.929909299943,210.929909299943,210.929909299943,1.83333333333333,1.09944889997132,ScrollUp,정답,212.01803539996,212.01803539996,212.517698099953,213.036337899975,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
6,넌 헤퍼,5,Green,A,2.45833333333333,2.23333333333333,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,213.036337899975,213.036337899975,213.036337899975,213.036337899975,213.036337899975,1.14197530864198,0.834496199968271,ScrollDown,정답,213.868110200041,213.868110200041,214.367710900027,214.895465199952,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
7,넌 말쑥해,3,Green,A,4.83333333333333,4.33333333333333,ScrollDown,ScrollUp,Green.png,1,Neutral,Neutral,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,214.895465199952,214.895465199952,214.895465199952,214.895465199952,214.895465199952,1.28240740740741,0.881014400045387,ScrollDown,정답,215.767761099967,215.767761099967,216.268484700006,216.788223400014,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
8,넌 투덜거려,5,Orange,B,2.54166666666667,2.26666666666667,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,216.788223400014,216.788223400014,216.788223400014,216.788223400014,216.788223400014,1.34104938271605,1.0147601000499,ScrollDown,오답,217.801142100012,217.801142100012,218.301208199933,218.810105399927,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
9,넌 적극적이야,1,Green,A,5.70833333333333,5.53333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,218.810105399927,218.810105399927,218.810105399927,218.810105399927,218.810105399927,1.28395061728395,0.899388400022872,ScrollDown,정답,219.717883400037,219.717883400037,220.217797399964,220.734324099962,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
10,넌 재미없어,4,Orange,B,2.625,2.96666666666667,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,220.734324099962,220.734324099962,220.734324099962,220.734324099962,220.734324099962,1.91666666666667,1.14880530000664,ScrollUp,정답,221.884701299947,221.884701299947,222.385332799982,222.907432200038,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
11,넌 명석해,2,Green,A,5.875,4.03333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,222.907432200038,222.907432200038,222.907432200038,222.907432200038,222.907432200038,1.34567901234568,1.16484919993673,ScrollDown,정답,224.067674099933,224.067674099933,224.567774800002,225.083114200039,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
12,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,1,NonTarget,NonTarget,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,225.083114200039,225.083114200039,225.083114200039,225.083114200039,225.083114200039,1.11111111111111,1.68212549993768,ScrollDown,정답,226.76768109994,226.76768109994,227.268438200001,227.784306499991,NaN,2,54,여자,no,no,no,yes,no,2023-06-02_11h44.45.965,Main,2022.2.4,59.9979720810407
