target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.2837664999533,None,36.2837664999533,None,space,152.368490100023,36.2837664999533,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,23.43879559997,213.227436800022,None,213.227436800022,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,0,0,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,218.844996299944,None,220.845869699959,None,prac,1,1,2,negative,neutral,k,k,1,2.786749000079,222.97257829993,223.994861399988,223.927461999934,None,222.97257829993,None,222.97257829993,None,222.97257829993,None,226.724807500024,None,226.724807500024,None,226.724807500024,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,1,1,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.749294799985364,227.760739599937,228.761126499972,228.761126499972,None,227.760739599937,None,227.760739599937,None,227.760739599937,None,229.492756000033,None,229.492756000033,None,229.492756000033,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,2,2,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,negative,l,k,0,-0.553058099932969,229.52758809994,NaN,NaN,None,229.52758809994,None,229.52758809994,None,229.52758809994,None,229.976347899996,None,229.976347899996,None,229.976347899996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,3,3,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,positive,j,k,0,0.919935799902305,233.000552700018,234.011413599947,233.97812330001,None,233.000552700018,None,233.000552700018,None,233.000552700018,None,234.894929999951,None,234.894929999951,None,234.894929999951,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,4,4,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,2.20436159998644,235.926992899971,236.927637399989,236.894706099993,None,235.926992899971,None,235.926992899971,None,235.926992899971,None,239.128336700029,None,239.128336700029,None,239.128336700029,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,5,5,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,negative,negative,l,l,1,1.33822309994139,240.160742699984,241.160883100005,241.127320399974,None,240.160742699984,None,240.160742699984,None,240.160742699984,None,242.494119399937,None,242.494119399937,None,242.494119399937,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,6,6,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,negative,neutral,k,k,1,1.41682370007038,242.528496199986,243.544332299964,243.478493600036,None,242.528496199986,None,242.528496199986,None,242.528496199986,None,244.911533499963,None,244.911533499963,None,244.911533499963,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,7,7,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,j,j,1,1.29681760002859,244.945272400044,245.944013200002,245.911215199973,None,244.945272400044,None,244.945272400044,None,244.945272400044,None,247.211301999993,None,247.211301999993,None,247.211301999993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,8,8,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,positive,negative,l,l,1,1.26535359991249,247.211773699964,248.213798500015,248.179063000018,None,247.211773699964,None,247.211773699964,None,247.211773699964,None,249.477711800032,None,249.477711800032,None,249.477711800032,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,9,9,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,1.03213489998598,249.479272000026,250.479011700023,250.479011700023,None,249.479272000026,None,249.479272000026,None,249.479272000026,None,251.510611900024,None,251.510611900024,None,251.510611900024,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,10,10,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,positive,j,j,1,0.997778399963863,251.512723900029,252.543997999979,252.478050400037,None,251.512723900029,None,251.512723900029,None,251.512723900029,None,253.511355499981,None,253.511355499981,None,253.511355499981,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,11,11,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,positive,j,l,0,0.630853899987414,253.512658599997,254.544145499938,254.510580700007,None,253.512658599997,None,253.512658599997,None,253.512658599997,None,255.145954999956,None,255.145954999956,None,255.145954999956,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,103,2023-08-15_11h54.34.010,Main,2022.1.1,30.1917599527129
