target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,561.8929475,681.910727500001,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
positive,neutral,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,8,NaN,NaN,NaN,NaN,,NaN,NaN,685.938784100001,prac,2,2,1,neutral,positive,687.977915699999,688.952241200001,688.952241200001,688.9872387,l,l,1,48.9709853000004,l,1,48.9557452999979,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
neutral,positive,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,13,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,neutral,738.9799231,739.9522579,739.9522579,739.9865398,k,k,1,19.9235388000016,k,1,19.9152735999996,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,neutral,neutral,760.915934299999,761.885660100001,761.885660100001,761.9189056,k,k,1,45.7899842000006,k,1,45.7744359999997,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
negative,negative,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,9,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,negative,negative,808.716514899999,809.7018422,809.7018422,809.7186291,j,j,1,15.6234003000009,j,1,15.5974680999989,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
negative,neutral,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,neutral,negative,826.344034199999,827.318596999999,827.318596999999,827.3519598,j,l,0,4.856629599999,l,0,4.85321429999931,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,negative,833.214454499999,834.203065399999,834.203065399999,834.2199905,j,k,0,18.9747404999998,k,0,18.9449951999995,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
positive,positive,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,positive,positive,854.201459800001,855.1852557,855.1852557,855.2018126,l,l,1,2.54042149999987,l,1,2.52161809999961,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
negative,negative,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,negative,858.7506108,859.7352156,859.7352156,859.7519082,j,j,1,5.15724899999987,j,1,5.13977209999939,NaN,,NaN,NaN,NaN,NaN,120,69,여성,no,yes,yes,no,2023-11-28_14h13.48.693,experiment_2311,2022.2.5,60.0391094760037
