distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,10,10,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,140.587039400009,None,None,1,1.53036500001326,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,11,11,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,143.118394299992,k,k,1,1.5335444000084,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,12,12,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,145.653202499961,None,None,1,1.5294772000052,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,13,13,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,148.183901799959,None,None,1,1.53625160001684,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,14,14,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,150.719707099954,k,k,1,1.26447860000189,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,red,2,None,None,NaN,NaN,NaN,NaN,0,15,15,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,152.984910800005,None,None,1,1.52143439999782,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,16,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,155.519406599924,None,None,1,1.52426480001304,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,17,17,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,158.036481500021,k,k,1,1.36386389995459,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,18,18,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,160.40305939992,k,k,1,1.16726170002948,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,19,19,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,162.569957399974,None,None,1,1.53106589999516,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
