target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.4574496999994,None,53.4574496999994,None,space,5.21625900000436,53.4574496999994,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,40.8689244000052,100.760138599999,None,100.760138599999,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,0,0,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,104.297246299997,None,106.291443099999,None,prac,2,2,1,negative,neutral,k,k,1,2.54125139999815,108.408235999999,109.456221099997,109.406363899998,None,108.408235999999,None,108.408235999999,None,108.408235999999,None,111.939675499998,None,111.939675499998,None,111.939675499998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,1,1,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,negative,positive,l,l,1,1.49470390000351,113.008200599998,114.038460599997,114.005255099997,None,113.008200599998,None,113.008200599998,None,113.008200599998,None,115.455287833331,None,115.455287833331,None,115.455287833331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,2,2,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,1.68369209999946,115.5074355,116.522217999998,116.490999599999,None,115.5074355,None,115.5074355,None,115.5074355,None,118.138868866663,None,118.138868866663,None,118.138868866663,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,3,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,neutral,k,k,1,2.09571219999998,118.190668799998,119.224510199998,119.1896877,None,118.190668799998,None,118.190668799998,None,118.190668799998,None,121.255124799998,None,121.255124799998,None,121.255124799998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,4,4,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,positive,positive,l,l,1,1.38428830000339,122.336345299998,123.369444199998,123.336387199997,None,122.336345299998,None,122.336345299998,None,122.336345299998,None,124.652588766665,None,124.652588766665,None,124.652588766665,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,5,5,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,neutral,k,k,1,1.32301179999922,124.705011399998,125.754860599998,125.685907699997,None,124.705011399998,None,124.705011399998,None,124.705011399998,None,126.988512533332,None,126.988512533332,None,126.988512533332,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,6,6,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,positive,l,l,1,1.33121720000054,127.020238099998,128.069884099998,128.018845999999,None,127.020238099998,None,127.020238099998,None,127.020238099998,None,129.320482033331,None,129.320482033331,None,129.320482033331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,7,7,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,j,j,1,1.62588600000163,129.3694808,130.418063399997,130.3680623,None,129.3694808,None,129.3694808,None,129.3694808,None,131.952658233332,None,131.952658233332,None,131.952658233332,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
