target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,mouse_2_clicked_name,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,13,49,7,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,1,negative,neutral,k,k,1,0.752844200003892,292.856227699987,293.88199569998,293.83542399999,None,292.856227699987,None,292.856227699987,None,292.856227699987,None,294.594096899999,None,294.594096899999,None,294.594096899999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,14,50,3,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,neutral,negative,j,j,1,0.838409699994372,294.609918200003,295.624300399999,295.590483999986,None,294.609918200003,None,294.609918200003,None,294.609918200003,None,296.436336299992,None,296.436336299992,None,296.436336299992,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,15,51,9,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,2,negative,negative,j,j,1,0.781770200002939,296.455457100004,297.458300400001,297.424430999992,None,296.455457100004,None,296.455457100004,None,296.455457100004,None,298.221101899986,None,298.221101899986,None,298.221101899986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,16,52,2,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,1,positive,positive,l,l,1,0.758637799997814,298.23971329999,299.257672599982,299.21846579999,None,298.23971329999,None,298.23971329999,None,298.23971329999,None,299.983535799989,None,299.983535799989,None,299.983535799989,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,17,53,8,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,neutral,positive,l,l,1,0.699435799993807,299.999492699979,301.007734299987,300.973819799983,None,299.999492699979,None,299.999492699979,None,299.999492699979,None,301.683633599989,None,301.683633599989,None,301.683633599989,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,0,54,15,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,2,positive,negative,j,j,1,0.77638460000162,301.701574000006,302.715503799991,302.674472299987,None,301.701574000006,None,301.701574000006,None,301.701574000006,None,303.4622668,None,303.4622668,None,303.4622668,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1,55,11,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,2,positive,positive,l,l,1,0.671264899981907,303.47789759998,304.488552099996,304.469081699994,None,303.47789759998,None,303.47789759998,None,303.47789759998,None,305.137378499994,None,305.137378499994,None,305.137378499994,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,2,56,3,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,1,1,1,neutral,negative,j,j,1,0.754844999988563,305.157273899997,306.174247499992,306.136128299986,None,305.157273899997,None,305.157273899997,None,305.157273899997,None,306.893327799981,None,306.893327799981,None,306.893327799981,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,57,4,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,1,positive,neutral,k,k,1,0.786336000019219,306.909676799987,307.932281699992,307.89087979999,None,306.909676799987,None,306.909676799987,None,306.909676799987,None,308.682218999986,None,308.682218999986,None,308.682218999986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,4,58,17,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,main,2,2,2,neutral,positive,l,l,1,0.728636000014376,308.699164999998,309.716191899992,309.674285199988,None,308.699164999998,None,308.699164999998,None,308.699164999998,None,310.412527199986,None,310.412527199986,None,310.412527199986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.1115791195321
