target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.1110725000035,None,45.1110725000035,None,space,34.6192159999919,45.1110725000035,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,96.1906534999725,137.043661700009,None,137.043661700009,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,0,0,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,149.374521400023,None,151.407910900016,None,prac,1,1,2,negative,positive,j,j,1,4.64415959999315,153.440388100018,154.474660200009,154.405492899998,None,153.440388100018,None,153.440388100018,None,153.440388100018,None,159.058595300012,None,159.058595300012,None,159.058595300012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,1,1,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,positive,j,j,1,2.0917979000078,160.105198800011,161.15637870002,161.125590400014,None,160.105198800011,None,160.105198800011,None,160.105198800011,None,163.159047699999,None,163.159047699999,None,163.159047699999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,2,2,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,1.47982030001003,164.223437500012,165.241826200014,165.241826200014,None,164.223437500012,None,164.223437500012,None,164.223437500012,None,166.641457766677,None,166.641457766677,None,166.641457766677,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,3,3,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,l,l,1,1.41309809999075,166.676794800005,167.708631000016,167.708631000016,None,166.676794800005,None,166.676794800005,None,166.676794800005,None,169.058677466677,None,169.058677466677,None,169.058677466677,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,4,4,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,positive,positive,j,j,1,1.50927410001168,169.128779799998,170.189610500005,170.105278000003,None,169.128779799998,None,169.128779799998,None,169.128779799998,None,171.573628066664,None,171.573628066664,None,171.573628066664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,5,5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,1.13778930000262,171.640187500016,172.72734350001,172.673717800004,None,171.640187500016,None,171.640187500016,None,171.640187500016,None,173.726299133334,None,173.726299133334,None,173.726299133334,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,6,6,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,1.08891560000484,173.764642199996,174.806532200018,174.7643522,None,173.764642199996,None,173.764642199996,None,173.764642199996,None,175.816213233346,None,175.816213233346,None,175.816213233346,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,7,7,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,1.29484360001516,175.844989000005,176.876002200006,176.876002200006,None,175.844989000005,None,175.844989000005,None,175.844989000005,None,178.112583933348,None,178.112583933348,None,178.112583933348,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,8,8,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,l,l,1,1.37082379998174,178.1777153,179.205742100021,179.17685410002,None,178.1777153,None,178.1777153,None,178.1777153,None,180.476365266663,None,180.476365266663,None,180.476365266663,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,999,2023-08-15_15h41.18.052,Main,2022.1.1,None
