distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,id_,date,expName,psychopyVersion,frameRate
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,0,0,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.4697219000664,32.4697219000664,space,87.169465300045,155.493741400074,155.493741400074,162.094150900026,162.094150900026,164.09564179997,164.09564179997,prac,166.16000360006,k,k,1,2.46096999989823,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,1,1,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,170.639514900045,k,k,1,1.20393209997565,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,2,2,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,172.840876600007,None,None,1,1.53040579997469,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,3,3,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,175.373384800041,None,None,1,1.53139190003276,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,4,4,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,177.905903100036,None,None,1,1.53113110002596,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,5,5,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,180.438401399995,None,None,1,1.53292879997753,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,6,6,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,182.971887800028,None,None,1,1.53359509992879,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,7,7,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,185.507147600059,None,None,1,1.53047870006412,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,8,8,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,188.038323300076,None,None,1,1.53279279998969,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,9,9,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,190.572501200018,k,k,1,2.13218209997285,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,10,10,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,194.741179100005,None,None,1,1.53482729999814,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,11,11,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,197.273351300042,k,k,1,2.16398459998891,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,12,12,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,201.473815400037,k,k,1,1.50157600000966,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,13,13,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,203.973110200022,k,k,1,1.49820289993659,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,14,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,206.472181600053,None,None,1,1.53384169994388,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,503,2023-08-15_15h48.08.366,Main,2023.1.2,30.2098466555147
