target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,id_,date,expName,psychopyVersion,frameRate
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,8,8,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,l,l,1,3.80464679999932,121.631589099998,122.6654695,122.615133399999,None,121.631589099998,None,121.631589099998,None,121.631589099998,None,126.399225499998,None,126.399225499998,None,126.399225499998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,9,9,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,l,l,1,2.89327580000099,127.479984399997,128.497275099999,128.4637711,None,127.479984399997,None,127.479984399997,None,127.479984399997,None,131.348156,None,131.348156,None,131.348156,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,10,10,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,3.40467010000066,132.380570599998,133.413152099998,133.379058399998,None,132.380570599998,None,132.380570599998,None,132.380570599998,None,136.778348099997,None,136.778348099997,None,136.778348099997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,11,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,negative,j,j,1,2.27386819999811,137.8109931,138.831254099998,138.7949381,None,137.8109931,None,137.8109931,None,137.8109931,None,141.0623944,None,141.0623944,None,141.0623944,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,12,12,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,j,j,1,5.16820369999914,142.1266722,143.177165499997,143.143287499999,None,142.1266722,None,142.1266722,None,142.1266722,None,148.277892099999,None,148.277892099999,None,148.277892099999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,13,13,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,5.12031990000105,149.3414089,150.374965199997,150.324870199998,None,149.3414089,None,149.3414089,None,149.3414089,None,155.4421157,None,155.4421157,None,155.4421157,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,14,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,3.83520399999907,156.5091756,157.556182999997,157.523005699997,None,156.5091756,None,156.5091756,None,156.5091756,None,161.3221758,None,161.3221758,None,161.3221758,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,15,15,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,3.15919719999874,162.354975899998,163.405716999998,163.372170099999,None,162.354975899998,None,162.354975899998,None,162.354975899998,None,166.521107799999,None,166.521107799999,None,166.521107799999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,16,16,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,positive,l,j,0,2.33980539999902,167.570634599997,168.603920499998,168.570510099999,None,167.570634599997,None,167.570634599997,None,167.570634599997,None,170.887930199999,None,170.887930199999,None,170.887930199999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,17,17,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,j,j,1,3.25731480000104,171.970623399997,173.002803699997,172.954115599998,None,171.970623399997,None,171.970623399997,None,171.970623399997,None,176.202944599998,None,176.202944599998,None,176.202944599998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
