target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
positive,neutral,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8,8,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,neutral,positive,748.766377400001,749.738119200001,749.738119200001,749.7714839,l,l,1,5.00675480000064,l,1,5.00449499999922,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,positive,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,9,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,positive,positive,755.768144400001,756.754552,756.754552,756.7711256,l,l,1,4.24124230000052,l,1,4.21348060000128,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,negative,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10,10,9,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,negative,negative,762.0165156,763.004641200001,763.004641200001,763.0210462,j,j,1,4.02355830000124,j,1,3.99427649999961,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,positive,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11,11,13,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,neutral,768.0312622,769.0211927,769.0211927,769.0378201,k,k,1,12.2902625999996,k,1,12.2653528999999,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,12,12,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,negative,782.3107148,783.304606900001,783.304606900001,783.3211323,j,j,1,6.02385030000005,j,1,5.99869120000039,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,neutral,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13,13,8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,neutral,positive,790.3270878,791.3213889,791.3213889,791.3378471,l,j,0,12.7737106000004,j,0,12.749748799999,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,positive,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14,14,4,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,positive,neutral,805.1117763,806.104634200001,806.104634200001,806.121323900001,k,k,1,8.87370620000002,k,1,8.84677210000154,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,positive,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15,15,11,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,positive,815.997025900002,816.987890300001,816.987890300001,817.004749500002,l,l,1,2.95708820000073,l,1,2.93925809999928,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16,16,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,neutral,neutral,820.9485606,821.938102000002,821.938102000002,821.954542500001,k,k,1,2.54028180000023,k,1,2.51655740000206,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,negative,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17,17,14,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,negative,positive,825.484231799999,826.471172700001,826.471172700001,826.488105300001,l,l,1,2.33989389999988,l,1,2.31869440000082,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,positive,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,6,,NaN,NaN,840.953983599999,main,2,2,1,positive,negative,842.977611600001,843.954657100001,843.954657100001,843.988209100002,j,l,0,4.3825582999998,l,0,4.37173299999995,829.808101799999,space,11.1193390000008,842.977611600001,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,neutral,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,12,,NaN,NaN,NaN,main,2,2,2,neutral,negative,849.360175799999,850.354606899999,850.354606899999,850.371261400001,j,j,1,2.65719779999927,j,1,2.63543129999744,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,neutral,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,17,,NaN,NaN,NaN,main,2,2,2,neutral,positive,854.028159800002,855.021260700001,855.021260700001,855.0389858,l,l,1,3.67358239999885,l,1,3.64962279999963,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,positive,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,13,,NaN,NaN,NaN,main,2,2,2,positive,neutral,859.715835199999,860.688186199999,860.688186199999,860.721001600001,k,k,1,2.22323379999943,k,1,2.21469309999884,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,positive,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,4,,NaN,NaN,NaN,main,1,1,1,positive,neutral,863.926976100001,864.921196699999,864.921196699999,864.937877000002,k,k,1,1.82333650000146,k,1,1.79840650000187,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,15,,NaN,NaN,NaN,main,1,1,2,positive,negative,867.760001799999,868.754452800002,868.754452800002,868.7710561,j,j,1,4.77377690000139,j,1,4.75596520000181,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,negative,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,16,,NaN,NaN,NaN,main,1,1,2,negative,neutral,874.543664900002,875.5378903,875.5378903,875.554765400002,k,k,1,1.98971720000191,k,1,1.96520959999907,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,negative,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,5,,NaN,NaN,NaN,main,2,2,1,negative,positive,878.5321011,879.521283799999,879.521283799999,879.5381612,l,l,1,1.9230032000014,l,1,1.90165600000182,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
