distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,id_,date,expName,psychopyVersion,frameRate
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.1486859999131,45.1486859999131,space,40.1999063000549,91.367905799998,91.367905799998,99.7025448000059,99.7025448000059,101.718624299858,101.718624299858,prac,103.751042999793,None,None,1,1.50742709985934,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,1,1,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,106.232383199967,None,None,1,1.53138970001601,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,2,2,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,108.765590499854,None,None,1,1.53117219987325,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,3,3,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,111.299128199928,None,None,1,1.53180540003814,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,4,4,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,113.832601099974,k,k,1,1.20213520014659,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,5,5,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,116.033029199811,k,k,1,0.996704099932685,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,6,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,118.032924499828,k,k,1,0.998598700156435,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,120.033658299828,None,None,1,1.52931710006669,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,8,8,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,122.565701499814,k,k,1,1.36509840004146,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,red,2,None,None,NaN,NaN,NaN,NaN,0,9,9,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,124.934473999776,None,None,1,1.53297249996103,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,10,10,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,127.466656500008,None,None,1,1.52925469982438,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,11,11,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,130.000089099864,None,None,1,1.53182690008543,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,12,12,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,132.533488699934,None,None,1,1.53222010005265,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,13,13,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,135.066913399845,k,k,1,0.999833700014278,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,14,14,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,137.068401899887,k,k,1,1.09845550009049,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,15,15,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,139.168161099777,k,k,1,0.797551899915561,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,16,16,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,140.967943399912,None,None,1,1.53021639981307,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,17,17,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,143.500660799909,None,None,1,1.53215990005992,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,18,18,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,146.034362299833,k,k,1,0.898743799887598,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,19,19,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,147.935720699839,None,None,1,1.53059759992175,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,150.487946199952,0.000118499854579568,150.487946199952,150.487946199952,-0.00648148148148148,-0.0277777777777778,0,0,0,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,6.77824960020371,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,36,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,157.301553199999,157.301553199999,main,159.367215999868,k,k,1,1.04793469980359,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h51.45.723,Main,2023.1.2,None
