distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,sound_2_started,sound_2_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,st_prac_back_started,st_prac_back_stopped,st_prac_text_started,st_prac_text_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,st_main_text_started,st_main_text_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_clicked_name,mouse_4_started,mouse_4_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,37.2595566000091,None,46.6972040499677,None,space,59.6364645999856,106.361550900037,None,109.159100400051,None,109.159100400051,None,111.161634700024,None,111.161634700024,None,prac,None,None,1,1.49642470001709,113.174803999951,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,1,1,1,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49729510000907,115.678301400039,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,2,2,2,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.01721109997015,118.17550110002,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,3,3,3,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.982661299989559,120.195290199947,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,4,4,4,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.779284900054336,122.179526599939,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,5,5,5,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.09949219995178,123.958611199982,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,6,6,6,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50115409994032,126.061343800044,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49894710001536,128.561287399963,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,8,8,8,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.896639999933541,131.061273099971,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,9,9,9,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50122510001529,132.958425299963,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,5,2022-05-06_17h36.20.569,Main,2022.1.1,59.146923934141
