target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0495375000173,None,40.0495375000173,None,space,88.1502736000111,40.0495375000173,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,53.0011245999485,182.310338099953,None,182.310338099953,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,183.941804099944,None,185.976271899999,None,prac,2,2,1,neutral,positive,j,,0,7.22679209988564,188.010510799941,189.03915550001,188.972599099972,None,188.010510799941,None,188.010510799941,None,188.010510799941,None,196.229632499977,None,196.229632499977,None,196.229632499977,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,1,1,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,positive,negative,l,l,1,2.57441469992045,197.240411199979,198.241363800014,198.210556500009,None,197.240411199979,None,197.240411199979,None,197.240411199979,None,200.808199699968,None,200.808199699968,None,200.808199699968,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,2,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,1.77240590006113,201.809245400014,202.842563899932,202.775272900006,None,201.809245400014,None,201.809245400014,None,201.809245400014,None,204.575673339993,None,204.575673339993,None,204.575673339993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,negative,negative,l,l,1,1.76341399992816,204.57713869994,205.608734400012,205.54306019994,None,204.57713869994,None,204.57713869994,None,204.57713869994,None,207.340794439998,None,207.340794439998,None,207.340794439998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,4,4,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,neutral,k,k,1,1.69819569995161,207.343796200003,208.373731,208.340701799956,None,207.343796200003,None,207.343796200003,None,207.343796200003,None,210.041916539997,None,210.041916539997,None,210.041916539997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,5,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,l,l,1,1.36408610001672,210.043400299968,211.07277869992,211.040247499943,None,210.043400299968,None,210.043400299968,None,210.043400299968,None,212.40769263996,None,212.40769263996,None,212.40769263996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,6,6,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,2.43235570006073,212.40843369998,213.409068199922,213.376055000001,None,212.40843369998,None,212.40843369998,None,212.40843369998,None,215.841553299921,None,215.841553299921,None,215.841553299921,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,7,7,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,neutral,k,k,1,1.37081840005703,216.843265899923,217.87658219994,217.809079499915,None,216.843265899923,None,216.843265899923,None,216.843265899923,None,219.208697939978,None,219.208697939978,None,219.208697939978,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,503,2023-08-15_16h00.30.255,Main,2022.1.1,None
