distractor,target,set,ans,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,flanker_thisRepN,flanker_thisTrialN,flanker_thisN,flanker_thisIndex,stroop_thisRepN,stroop_thisTrialN,stroop_thisN,stroop_thisIndex,st_ins_loop_thisRepN,st_ins_loop_thisTrialN,st_ins_loop_thisN,st_ins_loop_thisIndex,stroop_prac_loop_thisRepN,stroop_prac_loop_thisTrialN,stroop_prac_loop_thisN,stroop_prac_loop_thisIndex,st_block_thisRepN,st_block_thisTrialN,st_block_thisN,st_block_thisIndex,stroop_main_loop_thisRepN,stroop_main_loop_thisTrialN,stroop_main_loop_thisN,stroop_main_loop_thisIndex,stroop_block_ins_thisRepN,stroop_block_ins_thisTrialN,stroop_block_ins_thisN,stroop_block_ins_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,key_resp_9_duration,key_resp_3_keys,key_resp_3_rt,key_resp_3_duration,image_started,ins_rep_img_started,image_9_started,back_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,mainback_2_started,mouse_started,image_10_started,key_resp_4_keys,key_resp_4_rt,key_resp_4_duration,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,task_type,contineu_block_started,key_resp_10_started,key_resp_10_keys,key_resp_10_rt,key_resp_10_duration,id_,age,order,sex,flanker,stroop,conjunction,test_mode,date,expName,psychopyVersion,frameRate
neutral,yellow,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,8,8,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,prac,162.006404899992,None,None,1,1.52946419990622,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,9,9,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,prac,164.538200800074,k,k,1,1.36940980004147,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,yellow,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,10,10,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,prac,166.927318200003,None,None,1,1.52579940017313,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,11,11,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,prac,169.439198200125,k,k,1,1.51915750000626,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,yellow,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,174.155383100035,main,176.188632900128,None,None,1,1.52200000011362,None,1,171.979766100179,0.00037169991992414,171.979766100179,space,2.11354589997791,None,0.012037037037037,0.05,0,0,0,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,178.725250500022,k,k,1,-0.0835045001003891,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
neutral,blue,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,182.672008800087,None,None,1,1.53096810006537,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,185.205494600115,k,k,1,1.45903539983556,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,blue,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,187.658706600079,None,None,1,1.52402220014483,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,blue,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,190.188612899976,None,k,0,1.24558939994313,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,193.470844400115,k,k,1,3.50214289990254,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
neutral,yellow,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,198.98737420002,None,None,1,1.52055040001869,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,201.505151499994,k,k,1,1.37719959998503,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,yellow,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,203.911605200032,None,None,1,1.51339980005287,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
neutral,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,206.405621800106,k,k,1,1.84926980012096,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
neutral,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,209.258455300005,k,k,1,4.01855810009874,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,blue,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,0,12,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,215.309221500065,None,None,1,1.53913570009172,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
neutral,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,13,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,217.837545300135,k,k,1,2.64936490007676,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
neutral,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,2,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,222.519784700125,k,k,1,1.90665510017425,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,3,15,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,225.44151010015,k,k,1,1.62445150013082,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,4,16,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,228.057154500159,k,k,1,1.29521130002104,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,red,1,k,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,5,17,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,230.354223100003,k,k,1,1.26392269995995,None,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
neutral,blue,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,6,18,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,232.620979300002,None,None,1,1.51658280007541,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
negative,yellow,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,7,19,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,235.137345900061,None,None,1,1.52758680004627,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
positive,blue,1,None,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,8,20,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,NaN,NaN,NaN,NaN,main,237.661099900026,None,None,1,1.53864399995655,None,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,stroop,NaN,NaN,,NaN,,101,5,4,m,no,yes,no,no,2023-10-03_11h19.54.388,all_task_Ver_0825,2023.1.3,59.047283915479
