target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,408.260263400001,558.616855599999,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
neutral,neutral,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,10,NaN,NaN,NaN,NaN,,NaN,NaN,583.509856199998,prac,2,2,2,neutral,neutral,585.6105321,586.5739521,586.5739521,586.6246448,k,l,0,17.4921823999994,l,0,17.4813739000001,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
negative,neutral,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,neutral,negative,605.1379762,606.109681599999,606.109681599999,606.146756299999,l,k,0,3.12342979999994,k,0,3.12084370000048,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
neutral,negative,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,negative,neutral,610.274342999999,611.2412479,611.2412479,611.278434,k,j,0,5.80706970000028,j,0,5.79782180000075,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
neutral,positive,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,13,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,neutral,618.086926399999,619.0628989,619.0628989,619.101772,k,l,0,12.9737574999999,l,0,12.9606940000012,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
positive,positive,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,11,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,positive,positive,633.071317599999,634.048715299999,634.048715299999,634.086604499998,j,k,0,8.55671260000054,k,0,8.54278160000104,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,neutral,neutral,643.6184607,644.604474399999,644.604474399999,644.623117699999,k,l,0,16.3732901999992,l,0,16.3545107999998,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
positive,negative,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,negative,positive,661.9866929,662.963609699998,662.963609699998,663.0021411,j,k,0,0.773386700000628,k,0,0.76375630000075,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,negative,664.767194299999,665.7566006,665.7566006,665.773278299999,l,k,0,1.70308599999953,k,0,1.66689860000042,NaN,,NaN,NaN,NaN,NaN,101,59,여성,no,yes,yes,no,2023-11-28_14h16.18.190,experiment_2311,2022.2.5,59.9134609968903
