target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15,105,17,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,neutral,positive,l,l,1,0.885160200006794,394.3994121,395.465864700003,395.413870299992,None,394.3994121,None,394.3994121,None,394.3994121,None,396.246350810002,None,396.246350810002,None,396.246350810002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16,106,5,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,negative,positive,l,l,1,0.915637800004333,396.280215100007,397.304106299998,397.272803500004,None,396.280215100007,None,396.280215100007,None,396.280215100007,None,398.166020009998,None,398.166020009998,None,398.166020009998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,17,107,10,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,neutral,neutral,k,k,1,0.808758500003023,398.197536199994,399.239013399987,399.239013399987,None,398.197536199994,None,398.197536199994,None,398.197536199994,None,399.986255120015,None,399.986255120015,None,399.986255120015,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,0,108,1,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,0.775775900023291,400.035370900005,401.084019000002,401.040093599993,None,400.035370900005,None,400.035370900005,None,400.035370900005,None,401.763273309986,None,401.763273309986,None,401.763273309986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,109,0,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,negative,negative,j,j,1,0.718659200007096,401.796361299988,402.831729099998,402.803039299994,None,401.796361299988,None,401.796361299988,None,401.796361299988,None,403.487283609994,None,403.487283609994,None,403.487283609994,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,2,110,14,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,negative,positive,l,l,1,0.74370199997793,403.515477100009,404.531769900001,404.503209099988,None,403.515477100009,None,403.515477100009,None,403.515477100009,None,405.245066119992,None,405.245066119992,None,405.245066119992,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,3,111,6,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,positive,negative,j,j,1,1.0890954999777,405.280655499984,406.342942999996,406.300111399993,None,405.280655499984,None,405.280655499984,None,405.280655499984,None,407.339896730008,None,407.339896730008,None,407.339896730008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,112,10,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,neutral,neutral,k,k,1,0.723145099997055,407.41176789999,408.458471899998,408.40966949999,None,407.41176789999,None,407.41176789999,None,407.41176789999,None,409.07454902,None,409.07454902,None,409.07454902,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,5,113,15,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,positive,negative,j,j,1,0.840949599980377,409.112857200002,410.18282680001,410.133956800011,None,409.112857200002,None,409.112857200002,None,409.112857200002,None,410.922274120001,None,410.922274120001,None,410.922274120001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,6,114,4,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,positive,neutral,k,k,1,0.846073099994101,410.977921299986,412.05442629999,412.00737810001,None,410.977921299986,None,410.977921299986,None,410.977921299986,None,412.775795420015,None,412.775795420015,None,412.775795420015,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
