distractor,target,set,ans1,ans2,weather_thisRepN,weather_thisTrialN,weather_thisN,weather_thisIndex,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,boat_thisRepN,boat_thisTrialN,boat_thisN,boat_thisIndex,para_thisRepN,para_thisTrialN,para_thisN,para_thisIndex,fish_thisRepN,fish_thisTrialN,fish_thisN,fish_thisIndex,para_prac_loop_thisRepN,para_prac_loop_thisTrialN,para_prac_loop_thisN,para_prac_loop_thisIndex,para_main_loop_thisRepN,para_main_loop_thisTrialN,para_main_loop_thisN,para_main_loop_thisIndex,main_prac,st_ans,st_res,st_corr,st_rt,st_rt2,st2_resp_keys,st2_resp_corr,id_,x___,x__,weather,boat,parachute,fish,test_mode,date,expName,psychopyVersion,frameRate
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,67,67,110,main,k,k,1,1.03145020001102,1.03072030004114,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,68,68,86,main,None,None,1,1.51188260002527,1.03072030004114,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,69,69,27,main,None,None,1,1.51486769993789,1.03072030004114,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,70,70,105,main,None,None,1,1.5163739999989,1.03072030004114,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,71,71,25,main,None,None,1,1.5147063001059,1.03072030004114,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,72,72,120,main,None,None,1,1.51575269992463,1.03072030004114,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,73,73,69,main,k,k,1,1.06489030004013,1.06421460001729,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,74,74,85,main,k,k,1,0.582587500102818,0.581748500000685,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,75,75,81,main,k,k,1,0.655780100030825,0.655046200030483,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,76,76,44,main,None,None,1,1.51072220003698,0.655046200030483,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,77,77,123,main,None,None,1,1.51435400010087,0.655046200030483,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,78,78,118,main,k,k,1,0.669077900005504,0.668399500078522,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,79,79,126,main,k,k,1,0.681693000020459,0.681012500077486,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,80,80,26,main,None,None,1,1.51179330004379,0.681012500077486,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,81,81,10,main,k,k,1,1.00320200005081,1.00256030005403,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,82,82,70,main,None,None,1,1.51108600001317,1.00256030005403,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,83,83,6,main,k,k,1,1.18024799996056,1.17951129993889,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,84,84,73,main,None,None,1,1.51858790009283,1.17951129993889,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,85,85,82,main,None,None,1,1.51365619990975,1.17951129993889,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,86,86,20,main,k,k,1,0.730492200003937,0.729666800005361,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,87,87,43,main,k,k,1,0.932326000067405,0.931559300050139,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,88,88,65,main,None,None,1,1.51585959992371,0.931559300050139,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,89,89,75,main,k,k,1,0.86531839997042,0.864647099981084,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,90,23,main,None,None,1,1.51665940007661,0.864647099981084,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,91,91,127,main,k,k,1,0.670868900022469,0.670192599995062,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,92,92,90,main,k,k,1,0.815495099988766,0.814800299936906,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,93,93,76,main,k,k,1,0.848955200053751,0.848389800055884,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,94,94,24,main,None,None,1,1.51109849999193,0.848389800055884,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,95,95,128,main,None,None,1,1.51557629997842,0.848389800055884,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,96,96,89,main,k,k,1,0.668752399971709,0.668061299948022,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,97,97,19,main,k,k,1,0.651870800065808,0.65120070008561,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,98,98,80,main,None,None,1,1.50797779997811,0.65120070008561,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,99,99,135,main,None,k,0,0.63258999993559,0.631812099949457,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,100,138,main,k,k,1,0.690637599909678,0.690020499983802,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,101,101,137,main,None,k,0,0.775379600003362,0.774804500048049,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,102,102,50,main,k,k,1,0.801687099970877,0.801021400024183,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,103,103,122,main,k,k,1,0.832034999970347,0.831273399991915,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,104,104,7,main,None,None,1,1.51637669990305,0.831273399991915,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,105,105,67,main,k,k,1,0.865315899951383,0.864598399959505,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,106,106,53,main,k,k,1,0.737981099984609,0.737118300050497,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,107,107,35,main,None,None,1,1.50975770002697,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,108,108,98,main,None,None,1,1.51638729998376,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,109,109,45,main,None,None,1,1.51557319995482,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,110,110,116,main,None,None,1,1.51549380004872,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,111,111,117,main,None,None,1,1.51501790003385,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,112,112,58,main,None,None,1,1.51672660000622,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,113,113,74,main,None,None,1,1.51416760007851,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,114,114,68,main,None,None,1,1.51635779999197,0.737118300050497,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,115,115,102,main,k,k,1,0.697463399963453,0.696688299998641,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,116,116,11,main,None,None,1,1.51675010006875,0.696688299998641,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,117,117,54,main,None,None,1,1.51469549990725,0.696688299998641,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,118,118,49,main,k,k,1,0.998432800057344,0.997676900005899,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,119,119,33,main,k,k,1,0.68257890001405,0.681913200067356,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,120,120,21,main,k,k,1,0.722158099990338,0.721434799954295,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,121,121,115,main,None,None,1,1.50982010003645,0.721434799954295,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,122,122,17,main,None,None,1,1.51446109998506,0.721434799954295,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,123,123,57,main,None,None,1,1.5168021999998,0.721434799954295,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,124,124,121,main,None,None,1,1.51605399989057,0.721434799954295,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,125,125,59,main,None,None,1,1.5132807000773,0.721434799954295,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,126,126,18,main,k,k,1,1.3548830000218,1.35419490002096,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,127,127,4,main,None,None,1,1.51003489992581,1.35419490002096,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,128,128,40,main,None,k,0,0.804449399933219,0.803770500002429,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,129,129,114,main,None,None,1,1.5190142999636,0.803770500002429,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,130,130,95,main,k,k,1,0.805123499943875,0.804440099978819,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,131,131,1,main,None,None,1,1.50957979995292,0.804440099978819,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,132,132,93,main,k,k,1,1.14806460007094,1.14729530003387,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,133,133,0,main,None,None,1,1.51678599999286,1.14729530003387,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,134,134,106,main,None,None,1,1.51558479992673,1.14729530003387,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,135,135,87,main,None,None,1,1.51446920004673,1.14729530003387,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,136,136,14,main,k,k,1,0.887775599956512,0.886957200011238,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,137,137,28,main,k,k,1,0.976776900002733,0.97588809998706,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,138,138,96,main,None,None,1,1.51798700005747,0.97588809998706,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,139,139,42,main,None,None,1,1.51365099998657,0.97588809998706,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
,,NaN,,,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
,,NaN,,,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
