target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,8,8,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,0.977591700007906,89.1319650000078,90.1324862000183,90.0985977000091,None,89.1319650000078,None,89.1319650000078,None,89.1319650000078,None,91.0806881000171,None,91.0806881000171,None,91.0806881000171,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,9,9,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,neutral,k,k,1,1.11302099999739,91.0983904000022,92.0983546000207,92.0822712000227,None,91.0983904000022,None,91.0983904000022,None,91.0983904000022,None,93.1972311999998,None,93.1972311999998,None,93.1972311999998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,10,10,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,1.09784099998069,93.2154961000197,94.2154277000227,94.182295400009,None,93.2154961000197,None,93.2154961000197,None,93.2154961000197,None,95.298243199999,None,95.298243199999,None,95.298243199999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,11,11,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,positive,j,j,1,2.38487199999508,95.3146856999956,96.3153465000214,96.2988023000071,None,95.3146856999956,None,95.3146856999956,None,95.3146856999956,None,98.6980447000242,None,98.6980447000242,None,98.6980447000242,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,12,12,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,1.41187680000439,99.729574099998,100.731766200013,100.715575800015,None,99.729574099998,None,99.729574099998,None,99.729574099998,None,102.114745300001,None,102.114745300001,None,102.114745300001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,13,13,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,positive,j,j,1,1.22580149999703,102.131122400024,103.131303700007,103.113815000019,None,102.131122400024,None,102.131122400024,None,102.131122400024,None,104.347211900022,None,104.347211900022,None,104.347211900022,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,14,14,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,negative,l,l,1,1.18510520001291,104.364135000011,105.365362000011,105.348408400023,None,104.364135000011,None,104.364135000011,None,104.364135000011,None,106.531198600016,None,106.531198600016,None,106.531198600016,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,15,15,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,1.09819669998251,106.546897100023,107.548697999999,107.53208200002,None,106.546897100023,None,106.546897100023,None,106.546897100023,None,108.631831900013,None,108.631831900013,None,108.631831900013,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,16,16,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,positive,neutral,k,k,1,1.06220119999489,108.646826000011,109.6655034,109.633047800016,None,108.646826000011,None,108.646826000011,None,108.646826000011,None,110.697743700002,None,110.697743700002,None,110.697743700002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,17,17,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,positive,j,j,1,1.11576349998359,110.714304900001,111.71399020002,111.698160900007,None,110.714304900001,None,110.714304900001,None,110.714304900001,None,112.814464800002,None,112.814464800002,None,112.814464800002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
