target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.251088200137,31.251088200137,31.251088200137,space,1.34204409993254,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,space,0.828422199934721,34.5190087000374,34.5190087000374,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,36.219765700167,38.2527777000796,40.2535541001707,0.0464909998700023,40.2535541001707,space,2.53134660003707,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,-0.174074074074074,0.135185185185185,0,0,0,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,15,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,42.8186714001931,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,positive,negative,44.8856819001958,44.8856819001958,44.8856819001958,44.8856819001958,45.8359178001992,45.9027958000079,l,l,1,1.2977777000051,47.1694352000486,47.1694352000486,47.1694352000486,47.1694352000486,47.1694352000486,47.1694352000486,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,10,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,neutral,47.1694352000486,47.1694352000486,47.1694352000486,47.1694352000486,48.1355753000826,48.201724300161,k,k,1,1.09972369996831,49.2686457000673,49.2686457000673,49.2686457000673,49.2686457000673,49.2686457000673,49.2686457000673,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,5,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,negative,positive,49.2686457000673,49.2686457000673,49.2686457000673,49.2686457000673,50.2352527000476,50.3023501001298,j,j,1,1.1010642000474,51.3692697000224,51.3692697000224,51.3692697000224,51.3692697000224,51.3692697000224,51.3692697000224,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,8,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,neutral,positive,51.3692697000224,51.3692697000224,51.3692697000224,51.3692697000224,52.3685596000869,52.4022024001461,j,j,1,1.0597121999599,53.4366173001472,53.4366173001472,53.4366173001472,53.4366173001472,53.4366173001472,53.4366173001472,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,9,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,negative,53.4366173001472,53.4366173001472,53.4366173001472,53.4366173001472,54.4025987000205,54.4688872001134,l,l,1,1.2293636999093,55.6692184000276,55.6692184000276,55.6692184000276,55.6692184000276,55.6692184000276,55.6692184000276,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,13,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,positive,neutral,55.6692184000276,55.6692184000276,55.6692184000276,55.6692184000276,56.6360112000257,56.70281970012,k,k,1,1.00129919988103,57.6691116001457,57.6691116001457,57.6691116001457,57.6691116001457,57.6691116001457,57.6691116001457,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,2,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,positive,positive,57.6691116001457,57.6691116001457,57.6691116001457,57.6691116001457,58.6360163001809,58.7028322000988,j,j,1,1.02818989986554,59.7028173001017,59.7028173001017,59.7028173001017,59.7028173001017,59.7028173001017,59.7028173001017,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,3,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,neutral,negative,59.7028173001017,59.7028173001017,59.7028173001017,59.7028173001017,60.6690768001135,60.7364861001261,l,l,1,1.19839939987287,61.8877167000901,61.8877167000901,61.8877167000901,61.8877167000901,61.8877167000901,61.8877167000901,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,4,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,positive,neutral,61.8877167000901,61.8877167000901,61.8877167000901,61.8877167000901,62.8707080001477,62.9029205001425,k,k,1,0.868358100065961,63.7708098001312,63.7708098001312,63.7708098001312,63.7708098001312,63.7708098001312,63.7708098001312,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,16,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,negative,neutral,63.7708098001312,63.7708098001312,63.7708098001312,63.7708098001312,64.7699214001186,64.8029170001391,k,k,1,0.977619800018147,65.7541898000054,65.7541898000054,65.7541898000054,65.7541898000054,65.7541898000054,65.7541898000054,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,7,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,negative,neutral,65.7541898000054,65.7541898000054,65.7541898000054,65.7541898000054,66.7201996999793,66.7865498000756,k,k,1,1.22985469992273,67.9873001000378,67.9873001000378,67.9873001000378,67.9873001000378,67.9873001000378,67.9873001000378,201,2023-08-15_11h39.02.914,Main,2023.1.2,None
