target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.4399742000096,None,39.4399742000096,None,space,7.29543169998215,39.4399742000096,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,100.322961099999,148.235619099985,None,148.235619099985,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,0,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,155.301768999983,None,157.332461099984,None,prac,2,2,2,positive,positive,j,j,1,4.38528909999877,162.191882199986,163.249468800001,163.165530099999,None,162.191882199986,None,162.191882199986,None,162.191882199986,None,167.587902900006,None,167.587902900006,None,167.587902900006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,1,1,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,l,l,1,2.56069759998354,168.652146400011,169.719003400009,169.666481599997,None,168.652146400011,None,168.652146400011,None,168.652146400011,None,172.189952099987,None,172.189952099987,None,172.189952099987,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,2,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,positive,j,j,1,3.47002480001538,173.2702574,174.318808199983,174.269990000001,None,173.2702574,None,173.2702574,None,173.2702574,None,177.685625599988,None,177.685625599988,None,177.685625599988,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,3,3,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,2.01394529998652,178.765819599997,179.782479499991,179.749084200012,None,178.765819599997,None,178.765819599997,None,178.765819599997,None,181.734389899997,None,181.734389899997,None,181.734389899997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,4,4,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,2.90097049999167,182.787655199994,183.838066700002,183.787293200003,None,182.787655199994,None,182.787655199994,None,182.787655199994,None,186.650101100007,None,186.650101100007,None,186.650101100007,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,5,5,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,positive,j,l,0,2.21654629998375,187.7045927,188.732244299987,188.699022599991,None,187.7045927,None,187.7045927,None,187.7045927,None,190.899990700011,None,190.899990700011,None,190.899990700011,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,6,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,2.15165000001434,191.935001500009,192.999435800011,192.954554399999,None,191.935001500009,None,191.935001500009,None,191.935001500009,None,195.074705000006,None,195.074705000006,None,195.074705000006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,7,7,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,negative,l,l,1,1.7545359999931,196.1881001,197.299917600001,197.239977799996,None,196.1881001,None,196.1881001,None,196.1881001,None,198.869692766664,None,198.869692766664,None,198.869692766664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,401,2023-08-15_14h35.59.763,Main,2022.1.1,None
