target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7882667999947,None,21.7882667999947,None,space,2.02146249997895,21.7882667999947,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,23.9237039999571,48.8680631999159,None,48.8680631999159,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,0,0,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,51.7037761999527,None,53.7357242999133,None,prac,1,1,1,negative,positive,j,j,1,5.70340310002211,55.7717937999405,56.7855307999998,56.7522923999932,None,55.7717937999405,None,55.7717937999405,None,55.7717937999405,None,62.4510133999866,None,62.4510133999866,None,62.4510133999866,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,1,1,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,3.93876060005277,63.4745731999865,64.4853998000035,64.4515102999285,None,63.4745731999865,None,63.4745731999865,None,63.4745731999865,None,68.3854859999847,None,68.3854859999847,None,68.3854859999847,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,2,2,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,1.79581599996891,69.4043697000016,70.4217338999733,70.3879393999232,None,69.4043697000016,None,69.4043697000016,None,69.4043697000016,None,72.1872914199368,None,72.1872914199368,None,72.1872914199368,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,3,3,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,neutral,k,k,1,1.54879680008162,72.2212954999413,73.2368656999897,73.2036079999525,None,72.2212954999413,None,72.2212954999413,None,72.2212954999413,None,74.7380206199479,None,74.7380206199479,None,74.7380206199479,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,4,4,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,1.29783129994757,74.7387654000195,75.7688063000096,75.735515999957,None,74.7387654000195,None,74.7387654000195,None,74.7387654000195,None,77.0349521199125,None,77.0349521199125,None,77.0349521199125,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,5,5,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,positive,negative,l,l,1,1.46491019998211,77.0350883000065,78.0363775999285,78.0363775999285,None,77.0350883000065,None,77.0350883000065,None,77.0350883000065,None,79.5043631199398,None,79.5043631199398,None,79.5043631199398,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,6,6,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,l,l,1,1.44707819994073,79.5373160999734,80.5533235999756,80.4860633999342,None,79.5373160999734,None,79.5373160999734,None,79.5373160999734,None,81.9534001200111,None,81.9534001200111,None,81.9534001200111,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,7,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,negative,l,l,1,1.06552179995924,81.9543635000009,82.9545353999129,82.9210376999108,None,81.9543635000009,None,81.9543635000009,None,81.9543635000009,None,84.0217550200061,None,84.0217550200061,None,84.0217550200061,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,203,2023-08-15_13h07.15.406,Main,2022.1.1,29.9799464216864
