target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,507.547552800001,579.004232499999,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
neutral,positive,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,13,NaN,NaN,NaN,NaN,,NaN,NaN,585.2655266,prac,1,1,2,positive,neutral,587.3003868,588.261982,588.261982,588.313449199999,k,k,1,5.55887559999974,k,1,5.55394259999957,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
positive,positive,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,11,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,positive,594.901285099999,595.895231099999,595.895231099999,595.9119995,j,j,1,4.43319920000067,j,1,4.40106349999951,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
positive,neutral,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,neutral,positive,601.354079999999,602.3453149,602.3453149,602.3619113,j,j,1,4.0065981000007,j,1,3.97605229999863,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,negative,607.3542055,608.345038199999,608.345038199999,608.3617498,l,l,1,2.58952669999962,l,1,2.55937879999874,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
positive,negative,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,14,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,negative,positive,611.9382847,612.9288017,612.9288017,612.945115299999,j,j,1,5.54250900000079,j,1,5.51381819999915,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
neutral,negative,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,7,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,neutral,619.4991606,620.4618895,620.4618895,620.5119321,k,k,1,4.22370249999949,k,1,4.2180290999986,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
positive,positive,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,positive,positive,625.724726099999,626.7119198,626.7119198,626.7284093,j,k,0,64.7894199000002,k,0,64.7614622000001,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
positive,negative,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,positive,692.5216167,693.5118898,693.5118898,693.528822799999,j,k,0,4.19023900000138,k,0,4.16109309999956,NaN,,NaN,NaN,NaN,NaN,119,69,여성,no,yes,yes,no,2023-11-28_14h14.55.772,experiment_2311,2022.2.5,59.9855554780209
